LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
	group1	spot.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	103			1	no	5000	5000	all	4_4	198	spot
	group1	spot.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	103			1	no	FOC	57	nav	4_4	198	spot
	group1	spot.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	103			1	no	FOC	103	all	4_4	198	spot
	group2	spot.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	162			1	weight	5000	5000	nav	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	162			1	weight	5000	5000	all	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	162			1	weight	FOC	107	nav	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	162			1	weight	FOC	162	all	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	162			1	selection	5000	5000	nav	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	162			1	selection	5000	5000	all	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	162			1	selection	FOC	107	nav	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	162			1	selection	FOC	162	all	4_4	209	spot
	group2	spot.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	209			1	no	5000	5000	nav	4_4	212	spot
	group2	spot.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	209			1	no	5000	5000	all	4_4	212	spot
	group2	spot.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	209			1	no	FOC	141	nav	4_4	212	spot
	group2	spot.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	209			1	no	FOC	209	all	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSnav	dependency	bound	197			1	weight	5000	5000	nav	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIweight.LENGTH5000.SOCPOSall	dependency	bound	197			1	weight	5000	5000	all	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSnav	dependency	bound	197			1	weight	FOC	123	nav	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIweight.LENGTHFOC.SOCPOSall	dependency	bound	197			1	weight	FOC	197	all	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSnav	dependency	bound	197			1	selection	5000	5000	nav	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIselection.LENGTH5000.SOCPOSall	dependency	bound	197			1	selection	5000	5000	all	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSnav	dependency	bound	197			1	selection	FOC	123	nav	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIselection.LENGTHFOC.SOCPOSall	dependency	bound	197			1	selection	FOC	197	all	4_4	212	spot
	group3	spot.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSnav	dependency	bound	278			1	no	5000	5000	nav	4_4	213	spot
	group3	spot.LEMMAREL3.PPMIno.LENGTH5000.SOCPOSall	dependency	bound	278			1	no	5000	5000	all	4_4	213	spot
	group3	spot.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSnav	dependency	bound	278			1	no	FOC	165	nav	4_4	213	spot
	group3	spot.LEMMAREL3.PPMIno.LENGTHFOC.SOCPOSall	dependency	bound	278			1	no	FOC	278	all	4_4	213	spot
